Estimators:,k-AVG,k-Shape,soft-DBA,soft-MBA
ACSF1,0.345,0.305,0.26,0.395
Adiac,0.3994878361075544,0.38028169014084506,0.37516005121638923,0.4046094750320102
ArrowHead,0.5071090047393365,0.5023696682464455,0.5023696682464455,0.5687203791469194
BME,0.4444444444444444,0.6666666666666666,0.7,0.5222222222222223
Beef,0.45,0.38333333333333336,0.2833333333333333,0.4666666666666667
BeetleFly,0.6,0.675,0.7,0.775
BirdChicken,0.65,0.525,0.7,0.525
CBF,0.635483870967742,0.8903225806451613,0.921505376344086,0.7978494623655914
Car,0.5166666666666667,0.49166666666666664,0.425,0.675
Chinatown,0.6225895316804407,0.6198347107438017,0.6887052341597796,0.6308539944903582
ChlorineConcentration,0.3877408869282563,0.3800789412584165,0.4030647782679359,0.398188994659856
Coffee,0.9107142857142857,0.7857142857142857,0.9464285714285714,0.8928571428571429
Computers,0.508,0.626,0.616,0.61
CricketX,0.25256410256410255,0.3423076923076923,0.36025641025641025,0.2846153846153846
CricketY,0.28974358974358977,0.3141025641025641,0.39615384615384613,0.4064102564102564
CricketZ,0.27692307692307694,0.3730769230769231,0.382051282051282,0.3217948717948718
Crop,0.41,0.372125,0.3258333333333333,0.36204166666666665
DiatomSizeReduction,0.9720496894409938,0.9006211180124224,0.39751552795031053,0.8105590062111802
DistalPhalanxOutlineAgeGroup,0.5732838589981447,0.7365491651205937,0.5510204081632653,0.7755102040816326
DistalPhalanxOutlineCorrect,0.502283105022831,0.5034246575342466,0.5273972602739726,0.5091324200913242
DistalPhalanxTW,0.43042671614100186,0.49165120593692024,0.4230055658627087,0.5176252319109462
ECG200,0.745,0.745,0.665,0.755
ECG5000,0.7532,0.631,0.5466,0.608
ECGFiveDays,0.5192307692307693,0.9287330316742082,0.5678733031674208,0.5599547511312217
EOGHorizontalSignal,0.3674033149171271,0.4129834254143646,0.3756906077348066,0.35220994475138123
EOGVerticalSignal,0.31353591160220995,0.3798342541436464,0.3425414364640884,0.319060773480663
EthanolLevel,0.2948207171314741,0.2918326693227092,0.2818725099601594,0.28386454183266935
FaceAll,0.37066666666666664,0.6373333333333333,0.6,0.7235555555555555
FaceFour,0.6160714285714286,0.5535714285714286,0.8660714285714286,0.6964285714285714
FacesUCR,0.32355555555555554,0.5915555555555555,0.5462222222222223,0.7702222222222223
FiftyWords,0.37458563535911604,0.4265193370165746,0.5104972375690607,0.5270718232044199
Fish,0.3742857142857143,0.43714285714285717,0.6,0.6085714285714285
FreezerRegularTrain,0.7686666666666667,0.7633333333333333,0.7596666666666667,0.764
FreezerSmallTrain,0.7692842251563586,0.7633773453787353,0.7609451007644198,0.7661570535093816
GunPoint,0.5,0.5,0.5,0.51
GunPointAgeSpan,0.753880266075388,0.6008869179600886,0.6252771618625277,0.6407982261640798
GunPointMaleVersusFemale,0.5210643015521065,0.8891352549889135,0.8758314855875832,0.8691796008869179
GunPointOldVersusYoung,0.7117516629711752,0.5942350332594235,0.5942350332594235,0.6053215077605322
Ham,0.602803738317757,0.616822429906542,0.5700934579439252,0.6308411214953271
Haptics,0.3390928725701944,0.3758099352051836,0.3045356371490281,0.35853131749460043
Herring,0.5625,0.5390625,0.5625,0.5703125
HouseTwenty,0.6352201257861635,0.6415094339622641,0.5849056603773585,0.7672955974842768
InlineSkate,0.20615384615384616,0.23846153846153847,0.2323076923076923,0.2630769230769231
InsectEPGRegularTrain,0.5819935691318328,0.6205787781350482,0.6816720257234726,0.617363344051447
InsectEPGSmallTrain,0.5902255639097744,0.6052631578947368,0.706766917293233,0.6165413533834586
InsectWingbeatSound,0.5554545454545454,0.4268181818181818,0.22136363636363637,0.515
ItalyPowerDemand,0.5145985401459854,0.8740875912408759,0.5164233576642335,0.5182481751824818
LargeKitchenAppliances,0.372,0.5786666666666667,0.5053333333333333,0.4666666666666667
