dataset,DBA,MBA,soft-DBA-hard-dist-gamma-1.0,soft-DBA-hard-dist-gamma-0.1,soft-DBA-hard-dist-gamma-0.01,soft-DBA-hard-dist-gamma-0.001,soft-MBA-hard-dist-gamma-1.0,soft-MBA-hard-dist-gamma-0.1,soft-MBA-hard-dist-gamma-0.01,soft-MBA-hard-dist-gamma-0.001
ACSF1,18330.329,31840.235,27770.092,18757.399,18677.951,18444.369,40352.213,31433.846,31409.381,31340.055
Adiac,72.492,4186.6,137.893,103.841,84.36,70.454,6604.495,4268.086,4357.75,4308.713
ArrowHead,291.687,8183.132,612.272,368.058,292.463,326.652,8875.952,7984.415,7990.186,7986.713
Beef,122.502,2725.702,223.846,143.662,120.732,132.905,3571.826,2700.739,2703.706,2703.868
BeetleFly,915.272,10699.544,1347.078,953.42,940.489,864.932,11082.358,8680.408,8869.779,8869.966
BirdChicken,404.892,6897.676,751.623,464.823,384.047,394.098,7491.251,6368.565,6452.051,6455.637
BME,346.806,4810.987,607.608,560.314,341.987,335.439,5778.347,4319.487,4388.104,4402.31
Car,100.694,7296.863,182.036,116.257,89.21,94.287,9621.573,7185.698,7199.912,7469.83
CBF,11543.011,56648.66,22448.124,12381.955,11434.513,11475.828,56418.483,55558.985,55624.885,55666.511
Chinatown,167.742,1086.671,365.563,193.618,168.582,167.579,1295.098,1085.572,1085.447,1085.45
ChlorineConcentration,40387.78,129721.386,85493.18,42964.116,40298.936,40501.264,174739.641,128821.457,128883.261,128889.183
CinCECGTorso,59142.401,770207.761,,,,,,,,
Coffee,27.036,962.278,63.878,41.779,29.471,26.492,1385.836,962.459,963.934,963.948
Computers,66219.775,166323.358,78008.004,65701.456,65383.697,63754.406,,140745.867,142441.383,142570.286
CricketX,19859.425,101969.069,24988.748,20260.524,19347.159,19354.777,103192.583,95710.342,95104.957,95174.579
CricketY,17183.928,93414.14,22321.482,17158.816,16799.173,16721.399,97365.609,88371.954,88364.67,88501.681
CricketZ,20030.918,102440.545,25500.04,20098.307,19670.312,19371.508,103672.203,95336.971,95620.113,95493.472
Crop,118586.663,391343.095,178527.414,122587.517,117414.787,118078.803,412861.8,387699.977,387902.104,387956.511
DiatomSizeReduction,80.912,4919.932,154.072,130.674,84.327,77.712,7774.552,4817.712,4817.074,4818.003
DistalPhalanxOutlineCorrect,710.089,7962.002,1147.515,805.995,715.777,707.974,9311.485,7915.1,7922.862,7923.606
