Estimators:,k-AVG,k-Shape,soft-DBA,soft-MBA
ACSF1,0.43579557613184483,0.42567084881451017,0.3446973653513356,0.4706477538222978
Adiac,0.5942190575056244,0.5930469360591069,0.6014875769320733,0.5916767647721604
ArrowHead,0.27727344009311944,0.24818389280661585,0.2558838280233898,0.22977378589210398
BME,0.17008258395702044,0.4172377382365058,0.5824193722622897,0.19322420552233696
Beef,0.3005165953223291,0.2524970350263447,0.24399034981430373,0.3453256909491601
BeetleFly,0.02945963026314306,0.10977010796030037,0.12634639359704833,0.2587983815918992
BirdChicken,0.0668953849862383,0.0021538527797734957,0.13728645758291277,0.0019695502708250738
CBF,0.3408072416379424,0.7875004402129392,0.7782156054701368,0.5692772252365086
Car,0.22625880265500653,0.21960590582733722,0.15690734405215928,0.5109251081217592
Chinatown,0.01884008227612556,0.01679275115816544,0.05430094640924687,0.02178958655018292
ChlorineConcentration,0.0016113413246230113,0.00039737669508135316,0.006967372090852033,0.0031481597583057695
Coffee,0.6468622435098071,0.2610703664501029,0.7495574709561684,0.5405652415811882
Computers,0.00021378237580923807,0.05614711712049473,0.04907671788727512,0.06292823123420488
CricketX,0.25188713391523454,0.3715424736263276,0.43084514462341905,0.2940010978243655
CricketY,0.2825909859531804,0.3105650266190706,0.4527168228100304,0.4275482284370739
CricketZ,0.2569083778664027,0.3672258024851541,0.4877307979109103,0.32622674530568596
Crop,0.46439702282112033,0.4349156970663862,0.41102930702515517,0.4643319170166031
DiatomSizeReduction,0.9161160141982091,0.827660855052105,0.3735515782660477,0.7171639270456278
DistalPhalanxOutlineAgeGroup,0.2825542554750893,0.3276054411048154,0.3337788302477108,0.36576142854108834
DistalPhalanxOutlineCorrect,2.9344683770194517e-05,2.6102725423636273e-05,0.004342293414751771,0.0005328279528753438
DistalPhalanxTW,0.4406709493614139,0.4932893690320201,0.5079579858448521,0.5333686381557444
ECG200,0.12885854396130805,0.13772706402975654,0.02188533257158482,0.14602983201261838
ECG5000,0.5618177079275126,0.5036848339239487,0.4487991933343373,0.513436752798971
ECGFiveDays,0.0010675314162589642,0.6949866308871162,0.013655939699584781,0.011839502612373824
EOGHorizontalSignal,0.39201735374528,0.4133496766864353,0.4356781052468378,0.3679855469068603
EOGVerticalSignal,0.31469033085723264,0.37885877674392754,0.3668884521721237,0.3003754483816309
EthanolLevel,0.007979640708048602,0.008646969081799094,0.006937358440309737,0.006800503430132702
FaceAll,0.3710236702956386,0.63434579820145,0.6655183410969332,0.8263465281579708
FaceFour,0.46953292320271117,0.48605688465199653,0.7040838963566973,0.7352932437728608
FacesUCR,0.33210221008257024,0.6094324327150781,0.656377071930505,0.8493164099553013
FiftyWords,0.6327091669410466,0.6550037235224972,0.6908696126791231,0.7468354900240566
Fish,0.2773140934736455,0.31498841916237785,0.48996943173199214,0.5416426123816878
FreezerRegularTrain,0.22043898508761728,0.21123236347712526,0.20440598939063415,0.21168078265044385
FreezerSmallTrain,0.2215333917826328,0.21125763472200118,0.20653559123789658,0.21535107477596535
GunPoint,0.0,0.0,0.0,0.0002887154108149442
GunPointAgeSpan,0.294979693583295,0.03112437319542513,0.05046784524785096,0.06545261496410357
GunPointMaleVersusFemale,0.0003488046534582718,0.5900901942929037,0.5597687547265797,0.545255875289569
GunPointOldVersusYoung,0.22819744852813761,0.02492801704811978,0.02513671541857155,0.03217364386321873
Ham,0.02998947524360027,0.039065235966337986,0.013702318812126585,0.07526323561565224
Haptics,0.08499320318018527,0.11045838328881814,0.07442200135362438,0.13949850220039348
Herring,0.00728631614231306,0.004667911135614872,0.011368760178153478,0.008406404927958654
HouseTwenty,0.05485534494017797,0.05191747845398983,0.0536493124489514,0.21291091979390842
InlineSkate,0.04229294324907055,0.08831511784460364,0.10565054572224533,0.11466550807572276
InsectEPGRegularTrain,0.21071657098804863,0.3809123246390514,0.29053007123017843,0.29591421772049276
InsectEPGSmallTrain,0.2360582156176708,0.32456029423997396,0.3189202933202075,0.32266855835834135
InsectWingbeatSound,0.5398762505398574,0.4331917062198529,0.1635486023381035,0.5586277238767345
ItalyPowerDemand,0.0013162067254957402,0.4820131933729767,0.0012685200875019018,0.0018894759085720794
LargeKitchenAppliances,0.018419402459733232,0.15852214637345996,0.12724050423823163,0.08104042513858585
Lightning2,0.03445654504370858,0.09477483217243403,0.05382139242478543,0.11118771609755429
Lightning7,0.4152934717133016,0.5141953160441524,0.45702649845025867,0.5572086768680378
Mallat,0.8948501447024693,0.9281673081832887,0.874894270265737,0.8502988238877601
Meat,0.6191418304657276,0.5066581538044792,0.47686687491161817,0.6473502478409019
MedicalImages,0.23711629048487837,0.220006272340995,0.33161569506751165,0.2762697302837125
MiddlePhalanxOutlineAgeGroup,0.39582513631571986,0.39582513631571986,0.39847807039531125,0.39764651625620473
MiddlePhalanxOutlineCorrect,0.0007459443873183629,0.0008948491919371358,0.003792514724909351,0.0009242801143921855
MiddlePhalanxTW,0.43478422567472375,0.41301731523650514,0.40373332912572646,0.40630380833917606
MoteStrain,0.2973579924409249,0.48736231880260594,0.017596992413322517,0.5095309279162846
OSULeaf,0.22408459771696107,0.36298566043545766,0.22790539064580542,0.30682561773004263
OliveOil,0.4737007086834942,0.5407897674936599,0.5829889286061957,0.607925981421045
PhalangesOutlinesCorrect,0.01012353388661226,0.010221576432925785,0.0045715186104632695,0.006538265099917263
Plane,0.9015895879982476,0.8247266504000282,0.9284172132110458,0.9219866949160401
PowerCons,0.0324776432752362,0.0023270934146446117,0.019237365023588204,0.3631307976720854
ProximalPhalanxOutlineAgeGroup,0.441972004659291,0.441972004659291,0.5310266754921228,0.4405138526493598
ProximalPhalanxOutlineCorrect,0.08458094094235263,0.08458094094235263,0.06377190649349754,0.08083973565947612
ProximalPhalanxTW,0.4872823141281033,0.5210763089516598,0.5912731513047594,0.5670625147784437
Rock,0.29819355387342233,0.42422286823536776,0.29072388555509526,0.45284610348618326
ScreenType,0.01930537999892188,0.01187672381570642,0.03106410801805829,0.02452499224575379
ShapesAll,0.7115453895186538,0.7416775020702094,0.7100690046613567,0.7759017822694741
SmoothSubspace,0.36415690904162457,0.05944765433891997,0.3065480523852358,0.32408980091601575
SonyAIBORobotSurface1,0.2771398754446433,0.5197066582364286,0.6569768894204111,0.5271326536782993
SonyAIBORobotSurface2,0.23841582892942878,0.10707593029622409,0.07885494408110406,0.21652885338224678
StarLightCurves,0.6021270980095677,0.6028035609621494,0.6628846128370652,0.603607087994457
Strawberry,0.12339650719566002,0.12339650719566002,0.11790464602842471,0.10920382048679862
SwedishLeaf,0.5418078260761465,0.5737433393027784,0.594151038534267,0.7189503075554148
Symbols,0.7739547331369487,0.8173402764618484,0.876943063295006,0.8602782743643157
SyntheticControl,0.7980591453415391,0.6706355632076265,0.8907577043980975,0.8049308850059169
ToeSegmentation1,0.0005888647750152264,9.101042350741921e-05,0.005969537208680277,0.0035108231507313533
ToeSegmentation2,0.008632472772767876,0.26452177864754894,0.003203706175793955,0.0018906053580916042
Trace,0.5462777809300841,0.5293926362219519,0.7533907719567732,0.5577822258088257
TwoLeadECG,0.003421823600153933,0.08523984659985082,0.0948296116341707,0.08285490089063888
